"filename", "language", "PHP", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Usuario.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 11, 5, 30
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AuthServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 13, 6, 31
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 5, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 16, 6, 43
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\RouteServiceProvider.php", "PHP", 28, 0, 0, 0, 0, 0, 17, 8, 53
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Traits\ApiResponder.php", "PHP", 19, 0, 0, 0, 0, 0, 16, 4, 39
"d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\AppLayout.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\GuestLayout.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 30, 9, 56
"d:\Proyectos Laravel\iglesia-microservicio-php\composer.json", "JSON", 0, 0, 0, 0, 0, 75, 0, 1, 76
"d:\Proyectos Laravel\iglesia-microservicio-php\composer.lock", "JSON", 0, 0, 0, 0, 0, 9914, 0, 1, 9915
"d:\Proyectos Laravel\iglesia-microservicio-php\config\app.php", "PHP", 50, 0, 0, 0, 0, 0, 133, 33, 216
"d:\Proyectos Laravel\iglesia-microservicio-php\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 70, 14, 112
"d:\Proyectos Laravel\iglesia-microservicio-php\config\broadcasting.php", "PHP", 35, 0, 0, 0, 0, 0, 23, 13, 71
"d:\Proyectos Laravel\iglesia-microservicio-php\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 34, 19, 111
"d:\Proyectos Laravel\iglesia-microservicio-php\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 29, 3, 35
"d:\Proyectos Laravel\iglesia-microservicio-php\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 47, 22, 152
"d:\Proyectos Laravel\iglesia-microservicio-php\config\expo-notifications.php", "PHP", 22, 0, 0, 0, 0, 0, 3, 5, 30
"d:\Proyectos Laravel\iglesia-microservicio-php\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 32, 13, 77
"d:\Proyectos Laravel\iglesia-microservicio-php\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 32, 9, 53
"d:\Proyectos Laravel\iglesia-microservicio-php\config\image.php", "PHP", 4, 0, 0, 0, 0, 0, 12, 5, 21
"d:\Proyectos Laravel\iglesia-microservicio-php\config\logging.php", "PHP", 70, 0, 0, 0, 0, 0, 34, 19, 123
"d:\Proyectos Laravel\iglesia-microservicio-php\config\mail.php", "PHP", 53, 0, 0, 0, 0, 0, 47, 19, 119
"d:\Proyectos Laravel\iglesia-microservicio-php\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 32, 15, 94
"d:\Proyectos Laravel\iglesia-microservicio-php\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 41, 12, 68
"d:\Proyectos Laravel\iglesia-microservicio-php\config\services.php", "PHP", 25, 0, 0, 0, 0, 0, 11, 6, 42
"d:\Proyectos Laravel\iglesia-microservicio-php\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 147, 33, 202
"d:\Proyectos Laravel\iglesia-microservicio-php\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 20, 7, 37
"d:\Proyectos Laravel\iglesia-microservicio-php\database\factories\UserFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 13, 5, 41
"d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 34, 0, 0, 0, 0, 0, 10, 4, 48
"d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 10, 4, 33
"d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 10, 4, 37
"d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 10, 4, 38
"d:\Proyectos Laravel\iglesia-microservicio-php\database\seeders\DatabaseSeeder.php", "PHP", 109, 0, 0, 0, 0, 0, 11, 19, 139
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 10, 5, 21
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 10, 5, 20
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 10, 5, 23
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\validation.php", "PHP", 135, 0, 0, 0, 0, 0, 30, 9, 174
